rank,title,year,rating,duration,imdb_rating,genre,url,movie_url,popularity_score,oscar_wins,oscar_nominations,star_1,star_1_link,star_2,star_2_link,star_3,star_3_link
74,Toy Story,1995,G,1h 21m,8.3,"Animation, Adventure, Comedy",https://www.imdb.com/title/tt0114709/,https://www.imdb.com/title/tt0114709/,815,0,3,Tom Hanks,https://www.imdb.com/name/nm0000158/?ref_=tt_cst_t_1,Tim Allen,https://www.imdb.com/name/nm0000741/?ref_=tt_cst_t_2,Don Rickles,https://www.imdb.com/name/nm0725543/?ref_=tt_cst_t_3
75,Avengers: Endgame,2019,PG-13,3h 1m,8.4,"Action, Adventure, Drama",https://www.imdb.com/title/tt4154796/,https://www.imdb.com/title/tt4154796/,238,0,1,Robert Downey Jr.,https://www.imdb.com/name/nm0000375/?ref_=tt_cst_t_1,Chris Evans,https://www.imdb.com/name/nm0262635/?ref_=tt_cst_t_2,Mark Ruffalo,https://www.imdb.com/name/nm0749263/?ref_=tt_cst_t_3
76,Oldeuboi,2003,R,2h,8.3,"Action, Drama, Mystery",https://www.imdb.com/title/tt0364569/,https://www.imdb.com/title/tt0364569/,250,0,0,Choi Min-sik,https://www.imdb.com/name/nm0158856/?ref_=tt_cst_t_1,Yoo Ji-tae,https://www.imdb.com/name/nm0949167/?ref_=tt_cst_t_2,Kang Hye-jeong,https://www.imdb.com/name/nm1367246/?ref_=tt_cst_t_3
77,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,PG,1h 35m,8.3,"Comedy, War",https://www.imdb.com/title/tt0057012/,https://www.imdb.com/title/tt0057012/,959,0,4,Peter Sellers,https://www.imdb.com/name/nm0000634/?ref_=tt_cst_t_1,George C. Scott,https://www.imdb.com/name/nm0001715/?ref_=tt_cst_t_2,Sterling Hayden,https://www.imdb.com/name/nm0001330/?ref_=tt_cst_t_3
78,Good Will Hunting,1997,R,2h 6m,8.3,"Drama, Romance",https://www.imdb.com/title/tt0119217/,https://www.imdb.com/title/tt0119217/,205,2,0,Robin Williams,https://www.imdb.com/name/nm0000245/?ref_=tt_cst_t_1,Matt Damon,https://www.imdb.com/name/nm0000354/?ref_=tt_cst_t_2,Ben Affleck,https://www.imdb.com/name/nm0000255/?ref_=tt_cst_t_3
79,American Beauty,1999,R,2h 2m,8.3,Drama,https://www.imdb.com/title/tt0169547/,https://www.imdb.com/title/tt0169547/,277,5,0,Kevin Spacey,https://www.imdb.com/name/nm0000228/?ref_=tt_cst_t_1,Annette Bening,https://www.imdb.com/name/nm0000906/?ref_=tt_cst_t_2,Thora Birch,https://www.imdb.com/name/nm0000301/?ref_=tt_cst_t_3
80,Das Boot,1981,,2h 29m,8.4,"Drama, War",https://www.imdb.com/title/tt0082096/,https://www.imdb.com/title/tt0082096/,2003,0,6,Jürgen Prochnow,https://www.imdb.com/name/nm0001638/?ref_=tt_cst_t_1,Herbert Grönemeyer,https://www.imdb.com/name/nm0344963/?ref_=tt_cst_t_2,Klaus Wennemann,https://www.imdb.com/name/nm0921044/?ref_=tt_cst_t_3
81,Braveheart,1995,R,2h 58m,8.3,"Biography, Drama, War",https://www.imdb.com/title/tt0112573/,https://www.imdb.com/title/tt0112573/,186,5,0,Mel Gibson,https://www.imdb.com/name/nm0000154/?ref_=tt_cst_t_1,Sophie Marceau,https://www.imdb.com/name/nm0000521/?ref_=tt_cst_t_2,Patrick McGoohan,https://www.imdb.com/name/nm0001526/?ref_=tt_cst_t_3
82,Mononoke-hime,1997,PG-13,2h 13m,8.3,"Animation, Adventure, Fantasy",https://www.imdb.com/title/tt0119698/,https://www.imdb.com/title/tt0119698/,1288,0,0,Yôji Matsuda,https://www.imdb.com/name/nm0559444/?ref_=tt_cst_t_1,Yuriko Ishida,https://www.imdb.com/name/nm0410942/?ref_=tt_cst_t_2,Yûko Tanaka,https://www.imdb.com/name/nm0849100/?ref_=tt_cst_t_3
83,Kimi no na wa.,2016,,1h 46m,8.4,"Animation, Drama, Fantasy",https://www.imdb.com/title/tt5311514/,https://www.imdb.com/title/tt5311514/,756,0,0,Ryunosuke Kamiki,https://www.imdb.com/name/nm1126340/?ref_=tt_cst_t_1,Mone Kamishiraishi,https://www.imdb.com/name/nm4759838/?ref_=tt_cst_t_2,Ryo Narita,https://www.imdb.com/name/nm6954008/?ref_=tt_cst_t_3
84,Tengoku to jigoku,1963,Not Rated,2h 23m,8.4,"Crime, Drama, Mystery",https://www.imdb.com/title/tt0057565/,https://www.imdb.com/title/tt0057565/,3935,0,0,Toshirô Mifune,https://www.imdb.com/name/nm0001536/?ref_=tt_cst_t_1,Yutaka Sada,https://www.imdb.com/name/nm0755403/?ref_=tt_cst_t_2,Tatsuya Nakadai,https://www.imdb.com/name/nm0619938/?ref_=tt_cst_t_3
85,3 Idiots,2009,PG-13,2h 50m,8.4,"Comedy, Drama",https://www.imdb.com/title/tt1187043/,https://www.imdb.com/title/tt1187043/,860,0,0,Aamir Khan,https://www.imdb.com/name/nm0451148/?ref_=tt_cst_t_1,Madhavan,https://www.imdb.com/name/nm0534856/?ref_=tt_cst_t_2,Mona Singh,https://www.imdb.com/name/nm1587175/?ref_=tt_cst_t_3
86,Joker,2019,R,2h 2m,8.3,"Crime, Drama, Thriller",https://www.imdb.com/title/tt7286456/,https://www.imdb.com/title/tt7286456/,404,2,0,Joaquin Phoenix,https://www.imdb.com/name/nm0001618/?ref_=tt_cst_t_1,Robert De Niro,https://www.imdb.com/name/nm0000134/?ref_=tt_cst_t_2,Zazie Beetz,https://www.imdb.com/name/nm5939164/?ref_=tt_cst_t_3
87,Once Upon a Time in America,1984,R,3h 49m,8.3,"Crime, Drama",https://www.imdb.com/title/tt0087843/,https://www.imdb.com/title/tt0087843/,458,2,0,Robert De Niro,https://www.imdb.com/name/nm0000134/?ref_=tt_cst_t_1,James Woods,https://www.imdb.com/name/nm0000249/?ref_=tt_cst_t_2,Elizabeth McGovern,https://www.imdb.com/name/nm0001527/?ref_=tt_cst_t_3
88,Capharnaüm,2018,R,2h 6m,8.4,Drama,https://www.imdb.com/title/tt8267604/,https://www.imdb.com/title/tt8267604/,1387,0,1,Zain Al Rafeea,https://www.imdb.com/name/nm9862858/?ref_=tt_cst_t_1,Yordanos Shiferaw,https://www.imdb.com/name/nm9862859/?ref_=tt_cst_t_2,Boluwatife Treasure Bankole,https://www.imdb.com/name/nm9862860/?ref_=tt_cst_t_3
89,Singin&apos; in the Rain,1952,G,1h 43m,8.3,"Comedy, Musical, Romance",https://www.imdb.com/title/tt0045152/,https://www.imdb.com/title/tt0045152/,1655,0,2,Gene Kelly,https://www.imdb.com/name/nm0000037/?ref_=tt_cst_t_1,Donald O'Connor,https://www.imdb.com/name/nm0640307/?ref_=tt_cst_t_2,Debbie Reynolds,https://www.imdb.com/name/nm0001666/?ref_=tt_cst_t_3
90,Idi i smotri,1985,Not Rated,2h 22m,8.3,"Drama, Thriller, War",https://www.imdb.com/title/tt0091251/,https://www.imdb.com/title/tt0091251/,366,0,0,Aleksey Kravchenko,https://www.imdb.com/name/nm0470385/?ref_=tt_cst_t_1,Olga Mironova,https://www.imdb.com/name/nm0592500/?ref_=tt_cst_t_2,Liubomiras Laucevicius,https://www.imdb.com/name/nm0490708/?ref_=tt_cst_t_3
91,Requiem for a Dream,2000,NC-17,1h 42m,8.3,Drama,https://www.imdb.com/title/tt0180093/,https://www.imdb.com/title/tt0180093/,224,0,1,Ellen Burstyn,https://www.imdb.com/name/nm0000995/?ref_=tt_cst_t_1,Jared Leto,https://www.imdb.com/name/nm0001467/?ref_=tt_cst_t_2,Jennifer Connelly,https://www.imdb.com/name/nm0000124/?ref_=tt_cst_t_3
92,Toy Story 3,2010,G,1h 43m,8.3,"Animation, Adventure, Comedy",https://www.imdb.com/title/tt0435761/,https://www.imdb.com/title/tt0435761/,1401,2,0,Tom Hanks,https://www.imdb.com/name/nm0000158/?ref_=tt_cst_t_1,Tim Allen,https://www.imdb.com/name/nm0000741/?ref_=tt_cst_t_2,Joan Cusack,https://www.imdb.com/name/nm0000349/?ref_=tt_cst_t_3
93,Star Wars: Episode VI - Return of the Jedi,1983,PG,2h 11m,8.3,"Action, Adventure, Fantasy",https://www.imdb.com/title/tt0086190/,https://www.imdb.com/title/tt0086190/,1010,0,4,Mark Hamill,https://www.imdb.com/name/nm0000434/?ref_=tt_cst_t_1,Harrison Ford,https://www.imdb.com/name/nm0000148/?ref_=tt_cst_t_2,Carrie Fisher,https://www.imdb.com/name/nm0000402/?ref_=tt_cst_t_3
94,Jagten,2012,R,1h 55m,8.3,Drama,https://www.imdb.com/title/tt2106476/,https://www.imdb.com/title/tt2106476/,501,0,1,Mads Mikkelsen,https://www.imdb.com/name/nm0586568/?ref_=tt_cst_t_1,Thomas Bo Larsen,https://www.imdb.com/name/nm0488917/?ref_=tt_cst_t_2,Annika Wedderkopp,https://www.imdb.com/name/nm5038871/?ref_=tt_cst_t_3
95,Eternal Sunshine of the Spotless Mind,2004,R,1h 48m,8.3,"Drama, Romance, Sci-Fi",https://www.imdb.com/title/tt0338013/,https://www.imdb.com/title/tt0338013/,230,1,0,Jim Carrey,https://www.imdb.com/name/nm0000120/?ref_=tt_cst_t_1,Kate Winslet,https://www.imdb.com/name/nm0000701/?ref_=tt_cst_t_2,Tom Wilkinson,https://www.imdb.com/name/nm0929489/?ref_=tt_cst_t_3
96,Ikiru,1952,Not Rated,2h 23m,8.3,Drama,https://www.imdb.com/title/tt0044741/,https://www.imdb.com/title/tt0044741/,3632,0,1,Takashi Shimura,https://www.imdb.com/name/nm0793766/?ref_=tt_cst_t_1,Nobuo Kaneko,https://www.imdb.com/name/nm0437520/?ref_=tt_cst_t_2,Shin'ichi Himori,https://www.imdb.com/name/nm0385443/?ref_=tt_cst_t_3
97,2001: A Space Odyssey,1968,G,2h 29m,8.3,"Adventure, Sci-Fi",https://www.imdb.com/title/tt0062622/,https://www.imdb.com/title/tt0062622/,405,1,0,Keir Dullea,https://www.imdb.com/name/nm0001158/?ref_=tt_cst_t_1,Gary Lockwood,https://www.imdb.com/name/nm0516972/?ref_=tt_cst_t_2,William Sylvester,https://www.imdb.com/name/nm0843213/?ref_=tt_cst_t_3
98,Reservoir Dogs,1992,R,1h 39m,8.3,"Crime, Thriller",https://www.imdb.com/title/tt0105236/,https://www.imdb.com/title/tt0105236/,574,0,0,Harvey Keitel,https://www.imdb.com/name/nm0000172/?ref_=tt_cst_t_1,Tim Roth,https://www.imdb.com/name/nm0000619/?ref_=tt_cst_t_2,Michael Madsen,https://www.imdb.com/name/nm0000514/?ref_=tt_cst_t_3
99,The Apartment,1960,Approved,2h 5m,8.3,"Comedy, Drama, Romance",https://www.imdb.com/title/tt0053604/,https://www.imdb.com/title/tt0053604/,1974,5,0,Jack Lemmon,https://www.imdb.com/name/nm0000493/?ref_=tt_cst_t_1,Shirley MacLaine,https://www.imdb.com/name/nm0000511/?ref_=tt_cst_t_2,Fred MacMurray,https://www.imdb.com/name/nm0534045/?ref_=tt_cst_t_3
100,Lawrence of Arabia,1962,PG,3h 47m,8.3,"Adventure, Biography, Drama",https://www.imdb.com/title/tt0056172/,https://www.imdb.com/title/tt0056172/,889,7,0,Peter O'Toole,https://www.imdb.com/name/nm0000564/?ref_=tt_cst_t_1,Alec Guinness,https://www.imdb.com/name/nm0000027/?ref_=tt_cst_t_2,Anthony Quinn,https://www.imdb.com/name/nm0000063/?ref_=tt_cst_t_3
101,Incendies,2010,R,2h 11m,8.3,"Drama, Mystery, War",https://www.imdb.com/title/tt1255953/,https://www.imdb.com/title/tt1255953/,266,0,1,Lubna Azabal,https://www.imdb.com/name/nm0044073/?ref_=tt_cst_t_1,Mélissa Désormeaux-Poulin,https://www.imdb.com/name/nm0246386/?ref_=tt_cst_t_2,Maxim Gaudette,https://www.imdb.com/name/nm0309945/?ref_=tt_cst_t_3
102,Scarface,1983,R,2h 50m,8.3,"Crime, Drama",https://www.imdb.com/title/tt0086250/,https://www.imdb.com/title/tt0086250/,407,0,0,Al Pacino,https://www.imdb.com/name/nm0000199/?ref_=tt_cst_t_1,Michelle Pfeiffer,https://www.imdb.com/name/nm0000201/?ref_=tt_cst_t_2,Steven Bauer,https://www.imdb.com/name/nm0000874/?ref_=tt_cst_t_3
103,Double Indemnity,1944,Approved,1h 47m,8.3,"Crime, Drama, Film-Noir",https://www.imdb.com/title/tt0036775/,https://www.imdb.com/title/tt0036775/,3616,0,7,Fred MacMurray,https://www.imdb.com/name/nm0534045/?ref_=tt_cst_t_1,Barbara Stanwyck,https://www.imdb.com/name/nm0001766/?ref_=tt_cst_t_2,Edward G. Robinson,https://www.imdb.com/name/nm0000064/?ref_=tt_cst_t_3
104,North by Northwest,1959,Approved,2h 16m,8.3,"Adventure, Drama, Mystery",https://www.imdb.com/title/tt0053125/,https://www.imdb.com/title/tt0053125/,2220,0,3,Cary Grant,https://www.imdb.com/name/nm0000026/?ref_=tt_cst_t_1,Eva Marie Saint,https://www.imdb.com/name/nm0001693/?ref_=tt_cst_t_2,James Mason,https://www.imdb.com/name/nm0000051/?ref_=tt_cst_t_3
105,Heat,1995,R,2h 50m,8.3,"Action, Crime, Drama",https://www.imdb.com/title/tt0113277/,https://www.imdb.com/title/tt0113277/,173,0,0,Al Pacino,https://www.imdb.com/name/nm0000199/?ref_=tt_cst_t_1,Robert De Niro,https://www.imdb.com/name/nm0000134/?ref_=tt_cst_t_2,Val Kilmer,https://www.imdb.com/name/nm0000174/?ref_=tt_cst_t_3
106,Citizen Kane,1941,PG,1h 59m,8.3,"Drama, Mystery",https://www.imdb.com/title/tt0033467/,https://www.imdb.com/title/tt0033467/,1622,1,0,Orson Welles,https://www.imdb.com/name/nm0000080/?ref_=tt_cst_t_1,Joseph Cotten,https://www.imdb.com/name/nm0001072/?ref_=tt_cst_t_2,Dorothy Comingore,https://www.imdb.com/name/nm0173827/?ref_=tt_cst_t_3
107,M - Eine Stadt sucht einen Mörder,1931,Passed,1h 39m,8.3,"Crime, Mystery, Thriller",https://www.imdb.com/title/tt0022100/,https://www.imdb.com/title/tt0022100/,3795,0,0,Peter Lorre,https://www.imdb.com/name/nm0000048/?ref_=tt_cst_t_1,Ellen Widmann,https://www.imdb.com/name/nm0927145/?ref_=tt_cst_t_2,Inge Landgut,https://www.imdb.com/name/nm0484737/?ref_=tt_cst_t_3
108,Up,2009,PG,1h 36m,8.3,"Animation, Adventure, Comedy",https://www.imdb.com/title/tt1049413/,https://www.imdb.com/title/tt1049413/,967,2,0,Edward Asner,https://www.imdb.com/name/nm0000799/?ref_=tt_cst_t_1,Jordan Nagai,https://www.imdb.com/name/nm2973712/?ref_=tt_cst_t_2,John Ratzenberger,https://www.imdb.com/name/nm0001652/?ref_=tt_cst_t_3
109,Full Metal Jacket,1987,R,1h 56m,8.2,"Drama, War",https://www.imdb.com/title/tt0093058/,https://www.imdb.com/title/tt0093058/,671,0,1,Matthew Modine,https://www.imdb.com/name/nm0000546/?ref_=tt_cst_t_1,R. Lee Ermey,https://www.imdb.com/name/nm0000388/?ref_=tt_cst_t_2,Vincent D'Onofrio,https://www.imdb.com/name/nm0000352/?ref_=tt_cst_t_3
110,Vertigo,1958,PG,2h 8m,8.3,"Mystery, Romance, Thriller",https://www.imdb.com/title/tt0052357/,https://www.imdb.com/title/tt0052357/,1363,0,2,James Stewart,https://www.imdb.com/name/nm0000071/?ref_=tt_cst_t_1,Kim Novak,https://www.imdb.com/name/nm0001571/?ref_=tt_cst_t_2,Barbara Bel Geddes,https://www.imdb.com/name/nm0000895/?ref_=tt_cst_t_3
111,Le fabuleux destin d&apos;Amélie Poulain,2001,R,2h 2m,8.3,"Comedy, Romance",https://www.imdb.com/title/tt0211915/,https://www.imdb.com/title/tt0211915/,995,0,5,Audrey Tautou,https://www.imdb.com/name/nm0851582/?ref_=tt_cst_t_1,Mathieu Kassovitz,https://www.imdb.com/name/nm0440913/?ref_=tt_cst_t_2,Rufus,https://www.imdb.com/name/nm0749363/?ref_=tt_cst_t_3
112,Oppenheimer,2023,R,3h,8.3,"Biography, Drama, History",https://www.imdb.com/title/tt15398776/,https://www.imdb.com/title/tt15398776/,78,7,0,Cillian Murphy,https://www.imdb.com/name/nm0614165/?ref_=tt_cst_t_1,Emily Blunt,https://www.imdb.com/name/nm1289434/?ref_=tt_cst_t_2,Matt Damon,https://www.imdb.com/name/nm0000354/?ref_=tt_cst_t_3
113,A Clockwork Orange,1971,R,2h 16m,8.2,"Crime, Sci-Fi",https://www.imdb.com/title/tt0066921/,https://www.imdb.com/title/tt0066921/,544,0,4,Malcolm McDowell,https://www.imdb.com/name/nm0000532/?ref_=tt_cst_t_1,Patrick Magee,https://www.imdb.com/name/nm0535861/?ref_=tt_cst_t_2,Michael Bates,https://www.imdb.com/name/nm0060988/?ref_=tt_cst_t_3
114,To Kill a Mockingbird,1962,Approved,2h 9m,8.3,"Crime, Drama",https://www.imdb.com/title/tt0056592/,https://www.imdb.com/title/tt0056592/,1708,3,0,Gregory Peck,https://www.imdb.com/name/nm0000060/?ref_=tt_cst_t_1,John Megna,https://www.imdb.com/name/nm0576345/?ref_=tt_cst_t_2,Frank Overton,https://www.imdb.com/name/nm0653942/?ref_=tt_cst_t_3
115,Jodaeiye Nader az Simin,2011,PG-13,2h 3m,8.3,Drama,https://www.imdb.com/title/tt1832382/,https://www.imdb.com/title/tt1832382/,2423,1,0,Payman Maadi,https://www.imdb.com/name/nm1818216/?ref_=tt_cst_t_1,Leila Hatami,https://www.imdb.com/name/nm0368689/?ref_=tt_cst_t_2,Sareh Bayat,https://www.imdb.com/name/nm4299147/?ref_=tt_cst_t_3
116,Die Hard,1988,R,2h 12m,8.2,"Action, Thriller",https://www.imdb.com/title/tt0095016/,https://www.imdb.com/title/tt0095016/,746,0,4,Bruce Willis,https://www.imdb.com/name/nm0000246/?ref_=tt_cst_t_1,Alan Rickman,https://www.imdb.com/name/nm0000614/?ref_=tt_cst_t_2,Bonnie Bedelia,https://www.imdb.com/name/nm0000889/?ref_=tt_cst_t_3
117,The Sting,1973,PG,2h 9m,8.3,"Comedy, Crime, Drama",https://www.imdb.com/title/tt0070735/,https://www.imdb.com/title/tt0070735/,1239,7,0,Paul Newman,https://www.imdb.com/name/nm0000056/?ref_=tt_cst_t_1,Robert Redford,https://www.imdb.com/name/nm0000602/?ref_=tt_cst_t_2,Robert Shaw,https://www.imdb.com/name/nm0001727/?ref_=tt_cst_t_3
118,Taare Zameen Par,2007,PG,2h 42m,8.3,"Drama, Family",https://www.imdb.com/title/tt0986264/,https://www.imdb.com/title/tt0986264/,4629,0,0,Darsheel Safary,https://www.imdb.com/name/nm2594301/?ref_=tt_cst_t_1,Aamir Khan,https://www.imdb.com/name/nm0451148/?ref_=tt_cst_t_2,Tisca Chopra,https://www.imdb.com/name/nm1538116/?ref_=tt_cst_t_3
119,Indiana Jones and the Last Crusade,1989,PG-13,2h 7m,8.2,"Action, Adventure",https://www.imdb.com/title/tt0097576/,https://www.imdb.com/title/tt0097576/,871,1,0,Harrison Ford,https://www.imdb.com/name/nm0000148/?ref_=tt_cst_t_1,Sean Connery,https://www.imdb.com/name/nm0000125/?ref_=tt_cst_t_2,Alison Doody,https://www.imdb.com/name/nm0233145/?ref_=tt_cst_t_3
120,Metropolis,1927,Not Rated,2h 33m,8.3,"Drama, Sci-Fi",https://www.imdb.com/title/tt0017136/,https://www.imdb.com/title/tt0017136/,1684,0,0,Brigitte Helm,https://www.imdb.com/name/nm0375609/?ref_=tt_cst_t_1,Alfred Abel,https://www.imdb.com/name/nm0002154/?ref_=tt_cst_t_2,Gustav Fröhlich,https://www.imdb.com/name/nm0297054/?ref_=tt_cst_t_3
121,Snatch,2000,R,1h 42m,8.2,"Comedy, Crime",https://www.imdb.com/title/tt0208092/,https://www.imdb.com/title/tt0208092/,330,0,0,Jason Statham,https://www.imdb.com/name/nm0005458/?ref_=tt_cst_t_1,Brad Pitt,https://www.imdb.com/name/nm0000093/?ref_=tt_cst_t_2,Stephen Graham,https://www.imdb.com/name/nm0334318/?ref_=tt_cst_t_3
122,1917,2019,R,1h 59m,8.2,"Action, Drama, War",https://www.imdb.com/title/tt8579674/,https://www.imdb.com/title/tt8579674/,402,3,0,Dean-Charles Chapman,https://www.imdb.com/name/nm2835616/?ref_=tt_cst_t_1,George MacKay,https://www.imdb.com/name/nm1126657/?ref_=tt_cst_t_2,Daniel Mays,https://www.imdb.com/name/nm0990547/?ref_=tt_cst_t_3
123,L.A. Confidential,1997,R,2h 18m,8.2,"Crime, Drama, Mystery",https://www.imdb.com/title/tt0119488/,https://www.imdb.com/title/tt0119488/,738,2,0,Kevin Spacey,https://www.imdb.com/name/nm0000228/?ref_=tt_cst_t_1,Russell Crowe,https://www.imdb.com/name/nm0000128/?ref_=tt_cst_t_2,Guy Pearce,https://www.imdb.com/name/nm0001602/?ref_=tt_cst_t_3
124,Ladri di biciclette,1948,Not Rated,1h 29m,8.3,Drama,https://www.imdb.com/title/tt0040522/,https://www.imdb.com/title/tt0040522/,0,0,1,Lamberto Maggiorani,https://www.imdb.com/name/nm0536009/?ref_=tt_cst_t_1,Enzo Staiola,https://www.imdb.com/name/nm0821543/?ref_=tt_cst_t_2,Lianella Carell,https://www.imdb.com/name/nm0136794/?ref_=tt_cst_t_3
125,Der Untergang,2004,R,2h 36m,8.2,"Biography, Drama, History",https://www.imdb.com/title/tt0363163/,https://www.imdb.com/title/tt0363163/,883,0,1,Bruno Ganz,https://www.imdb.com/name/nm0004486/?ref_=tt_cst_t_1,Alexandra Maria Lara,https://www.imdb.com/name/nm0487884/?ref_=tt_cst_t_2,Ulrich Matthes,https://www.imdb.com/name/nm0559890/?ref_=tt_cst_t_3
126,Dangal,2016,Not Rated,2h 41m,8.3,"Action, Biography, Drama",https://www.imdb.com/title/tt5074352/,https://www.imdb.com/title/tt5074352/,3024,0,0,Aamir Khan,https://www.imdb.com/name/nm0451148/?ref_=tt_cst_t_1,Sakshi Tanwar,https://www.imdb.com/name/nm2799219/?ref_=tt_cst_t_2,Fatima Sana Shaikh,https://www.imdb.com/name/nm0760778/?ref_=tt_cst_t_3
127,Taxi Driver,1976,R,1h 54m,8.2,"Crime, Drama",https://www.imdb.com/title/tt0075314/,https://www.imdb.com/title/tt0075314/,363,0,4,Robert De Niro,https://www.imdb.com/name/nm0000134/?ref_=tt_cst_t_1,Jodie Foster,https://www.imdb.com/name/nm0000149/?ref_=tt_cst_t_2,Cybill Shepherd,https://www.imdb.com/name/nm0001732/?ref_=tt_cst_t_3
128,Hamilton,2020,PG-13,2h 40m,8.3,"Biography, Drama, History",https://www.imdb.com/title/tt8503618/,https://www.imdb.com/title/tt8503618/,582,2,0,Lin-Manuel Miranda,https://www.imdb.com/name/nm0592135/?ref_=tt_cst_t_1,Phillipa Soo,https://www.imdb.com/name/nm5623883/?ref_=tt_cst_t_2,Leslie Odom Jr.,https://www.imdb.com/name/nm1502434/?ref_=tt_cst_t_3
129,The Wolf of Wall Street,2013,R,3h,8.2,"Biography, Comedy, Crime",https://www.imdb.com/title/tt0993846/,https://www.imdb.com/title/tt0993846/,129,0,5,Leonardo DiCaprio,https://www.imdb.com/name/nm0000138/?ref_=tt_cst_t_1,Jonah Hill,https://www.imdb.com/name/nm1706767/?ref_=tt_cst_t_2,Margot Robbie,https://www.imdb.com/name/nm3053338/?ref_=tt_cst_t_3
130,Batman Begins,2005,PG-13,2h 20m,8.2,"Action, Drama",https://www.imdb.com/title/tt0372784/,https://www.imdb.com/title/tt0372784/,418,0,1,Christian Bale,https://www.imdb.com/name/nm0000288/?ref_=tt_cst_t_1,Michael Caine,https://www.imdb.com/name/nm0000323/?ref_=tt_cst_t_2,Ken Watanabe,https://www.imdb.com/name/nm0913822/?ref_=tt_cst_t_3
131,Green Book,2018,PG-13,2h 10m,8.2,"Biography, Comedy, Drama",https://www.imdb.com/title/tt6966692/,https://www.imdb.com/title/tt6966692/,222,3,0,Viggo Mortensen,https://www.imdb.com/name/nm0001557/?ref_=tt_cst_t_1,Mahershala Ali,https://www.imdb.com/name/nm0991810/?ref_=tt_cst_t_2,Linda Cardellini,https://www.imdb.com/name/nm0004802/?ref_=tt_cst_t_3
132,Per qualche dollaro in più,1965,R,2h 12m,8.2,"Drama, Western",https://www.imdb.com/title/tt0059578/,https://www.imdb.com/title/tt0059578/,2611,0,0,Clint Eastwood,https://www.imdb.com/name/nm0000142/?ref_=tt_cst_t_1,Lee Van Cleef,https://www.imdb.com/name/nm0001812/?ref_=tt_cst_t_2,Gian Maria Volontè,https://www.imdb.com/name/nm0002231/?ref_=tt_cst_t_3
133,Some Like It Hot,1959,Approved,2h 1m,8.2,"Comedy, Music, Romance",https://www.imdb.com/title/tt0053291/,https://www.imdb.com/title/tt0053291/,781,1,0,Marilyn Monroe,https://www.imdb.com/name/nm0000054/?ref_=tt_cst_t_1,Tony Curtis,https://www.imdb.com/name/nm0000348/?ref_=tt_cst_t_2,Jack Lemmon,https://www.imdb.com/name/nm0000493/?ref_=tt_cst_t_3
134,The Truman Show,1998,PG,1h 43m,8.2,"Comedy, Drama",https://www.imdb.com/title/tt0120382/,https://www.imdb.com/title/tt0120382/,385,0,3,Jim Carrey,https://www.imdb.com/name/nm0000120/?ref_=tt_cst_t_1,Ed Harris,https://www.imdb.com/name/nm0000438/?ref_=tt_cst_t_2,Laura Linney,https://www.imdb.com/name/nm0001473/?ref_=tt_cst_t_3
135,Judgment at Nuremberg,1961,Approved,2h 59m,8.3,"Drama, War",https://www.imdb.com/title/tt0055031/,https://www.imdb.com/title/tt0055031/,2975,2,0,Spencer Tracy,https://www.imdb.com/name/nm0000075/?ref_=tt_cst_t_1,Burt Lancaster,https://www.imdb.com/name/nm0000044/?ref_=tt_cst_t_2,Richard Widmark,https://www.imdb.com/name/nm0001847/?ref_=tt_cst_t_3
136,The Kid,1921,Passed,1h 8m,8.2,"Comedy, Drama, Family",https://www.imdb.com/title/tt0012349/,https://www.imdb.com/title/tt0012349/,0,0,0,Charles Chaplin,https://www.imdb.com/name/nm0000122/?ref_=tt_cst_t_1,Edna Purviance,https://www.imdb.com/name/nm0701012/?ref_=tt_cst_t_2,Jackie Coogan,https://www.imdb.com/name/nm0001067/?ref_=tt_cst_t_3
137,The Father,2020,PG-13,1h 37m,8.2,"Drama, Mystery",https://www.imdb.com/title/tt10272386/,https://www.imdb.com/title/tt10272386/,1034,2,0,Anthony Hopkins,https://www.imdb.com/name/nm0000164/?ref_=tt_cst_t_1,Olivia Colman,https://www.imdb.com/name/nm1469236/?ref_=tt_cst_t_2,Mark Gatiss,https://www.imdb.com/name/nm0309693/?ref_=tt_cst_t_3
138,Shutter Island,2010,R,2h 18m,8.2,"Drama, Mystery, Thriller",https://www.imdb.com/title/tt1130884/,https://www.imdb.com/title/tt1130884/,268,0,0,Leonardo DiCaprio,https://www.imdb.com/name/nm0000138/?ref_=tt_cst_t_1,Emily Mortimer,https://www.imdb.com/name/nm0607865/?ref_=tt_cst_t_2,Mark Ruffalo,https://www.imdb.com/name/nm0749263/?ref_=tt_cst_t_3
139,All About Eve,1950,Approved,2h 18m,8.2,Drama,https://www.imdb.com/title/tt0042192/,https://www.imdb.com/title/tt0042192/,3166,6,0,Bette Davis,https://www.imdb.com/name/nm0000012/?ref_=tt_cst_t_1,Anne Baxter,https://www.imdb.com/name/nm0000879/?ref_=tt_cst_t_2,George Sanders,https://www.imdb.com/name/nm0001695/?ref_=tt_cst_t_3
