rank,title,year,rating,duration,imdb_rating,genre,url,movie_url,popularity_score,oscar_wins,oscar_nominations,star_1,star_1_link,star_2,star_2_link,star_3,star_3_link
33,Gladiator,2000,R,2h 35m,8.5,"Action, Adventure, Drama",https://www.imdb.com/title/tt0172495/,https://www.imdb.com/title/tt0172495/,26,5,0,Russell Crowe,https://www.imdb.com/name/nm0000128/?ref_=tt_cst_t_1,Joaquin Phoenix,https://www.imdb.com/name/nm0001618/?ref_=tt_cst_t_2,Connie Nielsen,https://www.imdb.com/name/nm0001567/?ref_=tt_cst_t_3
34,Gisaengchung,2019,R,2h 12m,8.5,"Drama, Thriller",https://www.imdb.com/title/tt6751668/,https://www.imdb.com/title/tt6751668/,106,4,0,Song Kang-ho,https://www.imdb.com/name/nm0814280/?ref_=tt_cst_t_1,Lee Sun-kyun,https://www.imdb.com/name/nm1310525/?ref_=tt_cst_t_2,Cho Yeo-jeong,https://www.imdb.com/name/nm1856097/?ref_=tt_cst_t_3
35,Psycho,1960,R,1h 49m,8.5,"Horror, Mystery, Thriller",https://www.imdb.com/title/tt0054215/,https://www.imdb.com/title/tt0054215/,792,0,4,Anthony Perkins,https://www.imdb.com/name/nm0000578/?ref_=tt_cst_t_1,Janet Leigh,https://www.imdb.com/name/nm0001463/?ref_=tt_cst_t_2,Vera Miles,https://www.imdb.com/name/nm0587256/?ref_=tt_cst_t_3
36,The Lion King,1994,G,1h 28m,8.5,"Animation, Adventure, Drama",https://www.imdb.com/title/tt0110357/,https://www.imdb.com/title/tt0110357/,297,2,0,Matthew Broderick,https://www.imdb.com/name/nm0000111/?ref_=tt_cst_t_1,Jeremy Irons,https://www.imdb.com/name/nm0000460/?ref_=tt_cst_t_2,James Earl Jones,https://www.imdb.com/name/nm0000469/?ref_=tt_cst_t_3
37,Hotaru no haka,1988,Not Rated,1h 28m,8.5,"Animation, Drama, War",https://www.imdb.com/title/tt0095327/,https://www.imdb.com/title/tt0095327/,513,0,0,Tsutomu Tatsumi,https://www.imdb.com/name/nm0851302/?ref_=tt_cst_t_1,Ayano Shiraishi,https://www.imdb.com/name/nm0794186/?ref_=tt_cst_t_2,Akemi Yamaguchi,https://www.imdb.com/name/nm0945312/?ref_=tt_cst_t_3
38,The Departed,2006,R,2h 31m,8.5,"Crime, Drama, Thriller",https://www.imdb.com/title/tt0407887/,https://www.imdb.com/title/tt0407887/,156,4,0,Leonardo DiCaprio,https://www.imdb.com/name/nm0000138/?ref_=tt_cst_t_1,Matt Damon,https://www.imdb.com/name/nm0000354/?ref_=tt_cst_t_2,Jack Nicholson,https://www.imdb.com/name/nm0000197/?ref_=tt_cst_t_3
39,Whiplash,2014,R,1h 46m,8.5,"Drama, Music",https://www.imdb.com/title/tt2582802/,https://www.imdb.com/title/tt2582802/,194,3,0,Miles Teller,https://www.imdb.com/name/nm1886602/?ref_=tt_cst_t_1,J.K. Simmons,https://www.imdb.com/name/nm0799777/?ref_=tt_cst_t_2,Melissa Benoist,https://www.imdb.com/name/nm2552034/?ref_=tt_cst_t_3
40,Seppuku,1962,Not Rated,2h 13m,8.6,"Drama, Mystery",https://www.imdb.com/title/tt0056058/,https://www.imdb.com/title/tt0056058/,1468,0,0,Tatsuya Nakadai,https://www.imdb.com/name/nm0619938/?ref_=tt_cst_t_1,Akira Ishihama,https://www.imdb.com/name/nm0410968/?ref_=tt_cst_t_2,Shima Iwashita,https://www.imdb.com/name/nm0412615/?ref_=tt_cst_t_3
41,American History X,1998,R,1h 59m,8.5,"Crime, Drama",https://www.imdb.com/title/tt0120586/,https://www.imdb.com/title/tt0120586/,349,0,1,Edward Norton,https://www.imdb.com/name/nm0001570/?ref_=tt_cst_t_1,Edward Furlong,https://www.imdb.com/name/nm0000411/?ref_=tt_cst_t_2,Beverly D'Angelo,https://www.imdb.com/name/nm0000350/?ref_=tt_cst_t_3
42,The Prestige,2006,PG-13,2h 10m,8.5,"Drama, Mystery, Sci-Fi",https://www.imdb.com/title/tt0482571/,https://www.imdb.com/title/tt0482571/,183,0,2,Christian Bale,https://www.imdb.com/name/nm0000288/?ref_=tt_cst_t_1,Hugh Jackman,https://www.imdb.com/name/nm0413168/?ref_=tt_cst_t_2,Scarlett Johansson,https://www.imdb.com/name/nm0424060/?ref_=tt_cst_t_3
43,Léon,1994,R,1h 50m,8.5,"Action, Crime, Drama",https://www.imdb.com/title/tt0110413/,https://www.imdb.com/title/tt0110413/,286,0,0,Jean Reno,https://www.imdb.com/name/nm0000606/?ref_=tt_cst_t_1,Gary Oldman,https://www.imdb.com/name/nm0000198/?ref_=tt_cst_t_2,Natalie Portman,https://www.imdb.com/name/nm0000204/?ref_=tt_cst_t_3
44,Spider-Man: Across the Spider-Verse,2023,PG,2h 20m,8.5,"Animation, Action, Adventure",https://www.imdb.com/title/tt9362722/,https://www.imdb.com/title/tt9362722/,305,0,1,Shameik Moore,https://www.imdb.com/name/nm4271336/?ref_=tt_cst_t_1,Hailee Steinfeld,https://www.imdb.com/name/nm2794962/?ref_=tt_cst_t_2,Brian Tyree Henry,https://www.imdb.com/name/nm3109964/?ref_=tt_cst_t_3
45,Casablanca,1942,PG,1h 42m,8.5,"Drama, Romance, War",https://www.imdb.com/title/tt0034583/,https://www.imdb.com/title/tt0034583/,669,3,0,Humphrey Bogart,https://www.imdb.com/name/nm0000007/?ref_=tt_cst_t_1,Ingrid Bergman,https://www.imdb.com/name/nm0000006/?ref_=tt_cst_t_2,Paul Henreid,https://www.imdb.com/name/nm0002134/?ref_=tt_cst_t_3
46,The Usual Suspects,1995,R,1h 46m,8.5,"Crime, Drama, Mystery",https://www.imdb.com/title/tt0114814/,https://www.imdb.com/title/tt0114814/,187,2,0,Kevin Spacey,https://www.imdb.com/name/nm0000228/?ref_=tt_cst_t_1,Gabriel Byrne,https://www.imdb.com/name/nm0000321/?ref_=tt_cst_t_2,Chazz Palminteri,https://www.imdb.com/name/nm0001590/?ref_=tt_cst_t_3
47,Intouchables,2011,R,1h 52m,8.5,"Comedy, Drama",https://www.imdb.com/title/tt1675434/,https://www.imdb.com/title/tt1675434/,763,0,1,François Cluzet,https://www.imdb.com/name/nm0167388/?ref_=tt_cst_t_1,Omar Sy,https://www.imdb.com/name/nm1082477/?ref_=tt_cst_t_2,Anne Le Ny,https://www.imdb.com/name/nm0494504/?ref_=tt_cst_t_3
48,Nuovo Cinema Paradiso,1988,PG,2h 54m,8.5,"Drama, Romance",https://www.imdb.com/title/tt0095765/,https://www.imdb.com/title/tt0095765/,1613,1,0,Philippe Noiret,https://www.imdb.com/name/nm0634159/?ref_=tt_cst_t_1,Enzo Cannavale,https://www.imdb.com/name/nm0134073/?ref_=tt_cst_t_2,Antonella Attili,https://www.imdb.com/name/nm0041066/?ref_=tt_cst_t_3
49,Modern Times,1936,G,1h 27m,8.5,"Comedy, Drama, Romance",https://www.imdb.com/title/tt0027977/,https://www.imdb.com/title/tt0027977/,4941,0,0,Charles Chaplin,https://www.imdb.com/name/nm0000122/?ref_=tt_cst_t_1,Paulette Goddard,https://www.imdb.com/name/nm0002104/?ref_=tt_cst_t_2,Henry Bergman,https://www.imdb.com/name/nm0074788/?ref_=tt_cst_t_3
50,Alien,1979,R,1h 57m,8.5,"Horror, Sci-Fi",https://www.imdb.com/title/tt0078748/,https://www.imdb.com/title/tt0078748/,161,1,0,Sigourney Weaver,https://www.imdb.com/name/nm0000244/?ref_=tt_cst_t_1,Tom Skerritt,https://www.imdb.com/name/nm0000643/?ref_=tt_cst_t_2,John Hurt,https://www.imdb.com/name/nm0000457/?ref_=tt_cst_t_3
51,Rear Window,1954,PG,1h 52m,8.5,"Drama, Mystery, Thriller",https://www.imdb.com/title/tt0047396/,https://www.imdb.com/title/tt0047396/,1436,0,4,James Stewart,https://www.imdb.com/name/nm0000071/?ref_=tt_cst_t_1,Grace Kelly,https://www.imdb.com/name/nm0000038/?ref_=tt_cst_t_2,Wendell Corey,https://www.imdb.com/name/nm0179819/?ref_=tt_cst_t_3
52,C&apos;era una volta il West,1968,PG-13,2h 46m,8.5,"Drama, Western",https://www.imdb.com/title/tt0064116/,https://www.imdb.com/title/tt0064116/,768,0,0,Henry Fonda,https://www.imdb.com/name/nm0000020/?ref_=tt_cst_t_1,Charles Bronson,https://www.imdb.com/name/nm0000314/?ref_=tt_cst_t_2,Claudia Cardinale,https://www.imdb.com/name/nm0001012/?ref_=tt_cst_t_3
53,Django Unchained,2012,R,2h 45m,8.5,"Comedy, Drama, Western",https://www.imdb.com/title/tt1853728/,https://www.imdb.com/title/tt1853728/,199,2,0,Jamie Foxx,https://www.imdb.com/name/nm0004937/?ref_=tt_cst_t_1,Christoph Waltz,https://www.imdb.com/name/nm0910607/?ref_=tt_cst_t_2,Leonardo DiCaprio,https://www.imdb.com/name/nm0000138/?ref_=tt_cst_t_3
