name,actor_credits,total_wins,total_nominations
Yûko Tanaka,64,18,9
Sophie Marceau,51,8,7
Yôji Matsuda,71,0,0
Jürgen Prochnow,141,7,2
Yuriko Ishida,95,0,0
Patrick McGoohan,68,3,1
Ryunosuke Kamiki,137,5,4
Mone Kamishiraishi,36,0,0
Tatsuya Nakadai,184,7,3
Yutaka Sada,146,0,0
Aamir Khan,64,58,102
Madhavan,105,25,33
Ryo Narita,58,1,1
Mona Singh,38,18,11
Zazie Beetz,48,3,18
James Woods,150,22,39
Joaquin Phoenix,58,71,200
Boluwatife Treasure Bankole,0,0,0
Elizabeth McGovern,71,3,17
Yordanos Shiferaw,0,0,0
Zain Al Rafeea,3,4,4
Gene Kelly,47,19,12
Liubomiras Laucevicius,84,0,0
Donald O'Connor,88,6,3
Olga Mironova,1,0,0
Aleksey Kravchenko,79,0,0
Debbie Reynolds,88,21,44
Jennifer Connelly,55,16,30
Thomas Bo Larsen,82,4,6
Joan Cusack,90,17,32
Jared Leto,45,56,53
Ellen Burstyn,165,44,81
Mads Mikkelsen,65,50,54
Annika Wedderkopp,0,0,0
Jim Carrey,70,55,101
Tom Wilkinson,130,25,75
Kate Winslet,74,113,188
Keir Dullea,92,3,2
Nobuo Kaneko,0,0,0
Shin'ichi Himori,0,0,0
Gary Lockwood,97,0,0
Takashi Shimura,341,2,2
William Sylvester,88,0,0
Harvey Keitel,174,29,24
Tim Roth,119,20,27
Jack Lemmon,101,53,57
Michael Madsen,345,20,7
Alec Guinness,61,31,19
Fred MacMurray,96,18,4
Shirley MacLaine,79,50,77
Anthony Quinn,169,10,17
Peter O'Toole,102,28,48
Lubna Azabal,88,17,6
Maxim Gaudette,42,2,4
Michelle Pfeiffer,74,30,66
Mélissa Désormeaux-Poulin,39,2,4
Steven Bauer,200,9,5
Barbara Stanwyck,107,40,12
Fred MacMurray,96,18,4
Eva Marie Saint,86,12,13
Cary Grant,77,35,23
Edward G. Robinson,117,26,3
Orson Welles,130,38,30
James Mason,154,9,15
Val Kilmer,106,9,15
Joseph Cotten,133,0,0
Dorothy Comingore,28,0,0
Ellen Widmann,30,0,0
Peter Lorre,110,7,1
Jordan Nagai,7,0,0
Edward Asner,423,43,29
Inge Landgut,50,0,0
Matthew Modine,120,84,28
John Ratzenberger,188,2,5
R. Lee Ermey,123,2,4
Vincent D'Onofrio,120,13,17
Barbara Bel Geddes,33,7,8
Kim Novak,34,6,7
Cillian Murphy,64,53,85
Rufus,194,1,1
Audrey Tautou,49,11,22
Malcolm McDowell,289,18,13
Mathieu Kassovitz,67,16,16
Michael Bates,90,0,0
Patrick Magee,98,0,0
Emily Blunt,55,28,153
Matt Damon,103,40,158
Frank Overton,88,0,0
John Megna,33,0,0
Alan Rickman,70,19,39
Payman Maadi,27,14,20
Sareh Bayat,0,8,6
Leila Hatami,51,10,21
Gregory Peck,58,43,28
Bonnie Bedelia,93,3,5
Paul Newman,85,38,76
Bruce Willis,148,24,54
Alison Doody,35,0,0
Aamir Khan,64,58,102
Brigitte Helm,37,0,0
Robert Shaw,65,3,5
Darsheel Safary,24,5,3
Tisca Chopra,71,9,9
Sean Connery,95,39,34
Robert Redford,85,46,65
Alfred Abel,141,0,0
Gustav Fröhlich,115,0,0
Lamberto Maggiorani,17,0,0
Jason Statham,60,1,8
Guy Pearce,101,23,80
George MacKay,52,12,19
Dean-Charles Chapman,23,3,3
Daniel Mays,106,1,3
Russell Crowe,82,37,85
Stephen Graham,132,14,21
Lianella Carell,18,0,0
Enzo Staiola,15,0,0
Alexandra Maria Lara,76,5,6
Ulrich Matthes,66,6,2
Bruno Ganz,126,28,18
Fatima Sana Shaikh,28,9,19
Sakshi Tanwar,43,17,27
Jodie Foster,83,73,86
Lin-Manuel Miranda,42,34,97
Cybill Shepherd,75,13,15
Phillipa Soo,19,4,3
Leslie Odom Jr.,52,30,62
Michael Caine,176,43,69
Jonah Hill,66,9,66
Ken Watanabe,86,10,28
Margot Robbie,39,36,181
Mahershala Ali,55,85,96
Lee Van Cleef,173,0,0
Linda Cardellini,78,3,26
Gian Maria Volontè,68,30,8
Viggo Mortensen,66,45,129
Marilyn Monroe,32,9,12
Jack Lemmon,101,53,57
Tony Curtis,135,19,20
Ed Harris,118,29,52
Laura Linney,75,47,123
Spencer Tracy,79,40,24
Edna Purviance,40,0,0
Richard Widmark,78,10,6
Jackie Coogan,150,0,0
Burt Lancaster,87,28,21
Emily Mortimer,84,7,17
Mark Gatiss,133,14,29
Anthony Hopkins,155,74,131
Olivia Colman,130,100,183
Bette Davis,124,56,32
Anne Baxter,98,11,5
George Sanders,138,11,1
Daniel Day-Lewis,30,146,94
Paul Dano,50,26,96
Ciarán Hinds,128,17,49
Sam Neill,155,14,34
Laura Dern,104,62,112
Jeff Goldblum,146,17,37
Fernanda Torres,64,22,37
Fernanda Montenegro,89,51,34
Selton Mello,69,46,50
Sharon Stone,155,27,43
Akira Terao,71,5,4
Haley Joel Osment,128,26,30
Toni Collette,96,58,117
Miles Teller,38,5,28
Tom Cruise,53,64,120
Jinpachi Nezu,71,1,2
Tommy Lee Jones,87,44,90
Jennifer Connelly,55,16,30
Javier Bardem,78,121,104
Josh Brolin,78,21,65
Keith David,398,8,20
Kurt Russell,109,9,19
Wilford Brimley,79,1,2
Ivana Baquero,21,10,10
Ariadna Gil,75,17,12
Gene Hackman,101,34,40
Morgan Freeman,152,66,88
Uma Thurman,76,30,65
David Carradine,240,10,16
Sergi López,115,19,32
Daryl Hannah,99,6,13
Tim Holt,78,3,1
Walter Huston,56,23,4
Eijirô Tôno,323,0,0
Steve McQueen,44,7,19
Richard Attenborough,80,31,23
Graham Chapman,29,1,1
Viola Davis,98,123,248
Alexander Gould,35,3,3
Jake Gyllenhaal,67,36,108
Albert Brooks,41,30,37
Hugh Jackman,71,36,110
James Garner,98,17,37
Ellen DeGeneres,40,101,97
Eric Idle,87,2,9
John Cleese,182,16,26
Takuya Kimura,75,5,6
John Hurt,213,22,19
Anne Bancroft,87,17,45
Lupita Nyong'o,35,111,129
Tatsuya Gashûin,0,0,0
Kit Connor,28,4,13
Pedro Pascal,73,22,39
Chieko Baishô,159,14,7
Ray Milland,176,17,2
Robert Cummings,106,7,5
John Huston,54,43,68
Ricardo Darín,98,40,40
Faye Dunaway,119,25,47
Thomas Mitchell,114,15,4
Machiko Kyô,97,6,1
Vivien Leigh,21,16,1
Clark Gable,82,30,5
Masayuki Mori,100,0,0
Soledad Villamil,32,9,8
Pablo Rago,92,1,8
Rashida Jones,84,8,29
Jason Flemyng,153,2,6
Dexter Fletcher,114,4,11
Jason Schwartzman,94,13,25
Nick Moran,115,2,2
Hugo Weaving,105,35,42
Rupert Graves,112,1,1
Natalie Portman,82,96,182
Amy Poehler,97,33,121
Bill Hader,126,37,104
Lewis Black,65,6,9
Sam Rockwell,121,50,86
Ewan McGregor,102,38,82
Frances McDormand,70,144,140
Woody Harrelson,115,29,102
Jonny Lee Miller,60,1,13
Jack Hawkins,94,1,5
Ewen Bremner,109,3,3
Cathy Moriarty,84,4,10
Tom Hanks,101,97,210
Christopher Walken,143,28,38
Frances McDormand,70,144,140
William H. Macy,154,42,71
Steve Buscemi,186,31,74
Nick Nolte,117,12,39
Tom Hardy,65,22,87
Emma Watson,26,26,69
Daniel Radcliffe,49,21,71
Christopher Carley,28,0,0
Bee Vang,7,0,0
Rupert Grint,43,4,19
Joel Edgerton,85,25,81
Hilary Swank,59,60,49
Hitoshi Takagi,62,0,0
Clint Eastwood,73,167,185
Tom Holland,42,28,38
Benedict Cumberbatch,101,74,164
Noriko Hidaka,226,0,0
Nicholas Hoult,63,16,40
Jack Hawkins,94,1,5
Chika Sakamoto,228,0,0
Charlton Heston,129,19,19
Charlize Theron,75,70,149
Reza Naji,65,0,0
Amir Farrokh Hashemian,1,0,0
Bahare Seddiqi,0,0,0
Stephen Boyd,67,1,3
Ryan O'Neal,66,5,14
Patrick Magee,98,0,0
Marisa Berenson,90,1,3
Michael Kenneth Williams,112,20,31
Chiwetel Ejiofor,64,60,91
Michael Fassbender,68,79,157
