name,actor_credits,total_wins,total_nominations
Mel Gibson,76,46,48
Yûko Tanaka,64,18,9
Jürgen Prochnow,141,7,2
Herbert Grönemeyer,61,3,3
Sophie Marceau,51,8,7
Yôji Matsuda,72,0,0
Ryunosuke Kamiki,137,5,4
Yutaka Sada,146,0,0
Mone Kamishiraishi,37,0,0
Ryo Narita,58,1,1
Zazie Beetz,48,3,18
Tatsuya Nakadai,184,7,3
Aamir Khan,64,59,101
Joaquin Phoenix,59,72,204
Madhavan,106,25,34
Mona Singh,38,18,12
James Woods,150,22,39
Yordanos Shiferaw,0,0,0
Zain Al Rafeea,3,4,4
Elizabeth McGovern,71,3,17
Boluwatife Treasure Bankole,0,0,0
Donald O'Connor,88,7,3
Debbie Reynolds,88,22,48
Gene Kelly,47,21,12
Olga Mironova,1,0,0
Aleksey Kravchenko,79,0,0
Liubomiras Laucevicius,84,0,0
Jennifer Connelly,55,16,30
Ellen Burstyn,165,44,81
Jared Leto,44,58,56
Joan Cusack,90,17,32
Thomas Bo Larsen,82,4,6
Annika Wedderkopp,0,0,0
Mads Mikkelsen,65,50,55
Jim Carrey,70,55,101
Kate Winslet,74,113,192
Takashi Shimura,343,2,2
Nobuo Kaneko,0,0,0
Tom Wilkinson,130,25,75
Shin'ichi Himori,0,0,0
Keir Dullea,93,3,2
Gary Lockwood,97,0,0
William Sylvester,88,0,0
Harvey Keitel,174,29,24
Tim Roth,119,20,27
Michael Madsen,345,20,7
Shirley MacLaine,79,50,77
Peter O'Toole,102,28,48
Jack Lemmon,101,53,57
Fred MacMurray,96,18,4
Anthony Quinn,169,10,17
Lubna Azabal,88,17,6
Alec Guinness,62,34,19
Mélissa Désormeaux-Poulin,39,2,4
Maxim Gaudette,42,2,4
Michelle Pfeiffer,74,30,66
Steven Bauer,200,9,5
Fred MacMurray,96,18,4
Barbara Stanwyck,107,43,12
Edward G. Robinson,117,26,3
Cary Grant,77,35,23
James Mason,154,11,15
Eva Marie Saint,86,12,13
Val Kilmer,106,9,15
Joseph Cotten,133,0,0
Orson Welles,129,38,30
Peter Lorre,110,7,1
Dorothy Comingore,28,0,0
Ellen Widmann,30,0,0
Inge Landgut,50,0,0
Edward Asner,424,43,29
Jordan Nagai,7,0,0
John Ratzenberger,188,2,5
Matthew Modine,121,85,28
R. Lee Ermey,124,2,4
Vincent D'Onofrio,119,13,17
Barbara Bel Geddes,33,7,8
Kim Novak,34,7,7
Audrey Tautou,49,11,22
Rufus,194,1,1
Mathieu Kassovitz,67,16,16
Emily Blunt,55,28,154
Cillian Murphy,64,54,84
Malcolm McDowell,292,18,13
Matt Damon,103,40,158
Michael Bates,91,0,0
Patrick Magee,98,0,0
John Megna,33,0,0
Gregory Peck,58,46,30
Alan Rickman,70,19,39
Paul Newman,85,39,76
Frank Overton,88,0,0
Bonnie Bedelia,93,3,5
Bruce Willis,147,24,54
Leila Hatami,52,10,21
