rank,title,year,rating,duration,imdb_rating,genre,movie_url,popularity_score,oscar_wins,oscar_nominations,star_1,star_1_link,star_2,star_2_link,star_3,star_3_link
171,"Three Billboards Outside Ebbing, Missouri",,R,,8.1,"Comedy, Crime, Drama",https://www.imdb.com/title/tt5027774/,194.0,2,0,Frances McDormand,https://www.imdb.com/name/nm0000531/?ref_=tt_cst_t_1,Woody Harrelson,https://www.imdb.com/name/nm0000437/?ref_=tt_cst_t_2,Sam Rockwell,https://www.imdb.com/name/nm0005377/?ref_=tt_cst_t_3
172,The Bridge on the River Kwai,,PG,,8.1,"Adventure, Drama, War",https://www.imdb.com/title/tt0050212/,623.0,7,0,William Holden,https://www.imdb.com/name/nm0000034/?ref_=tt_cst_t_1,Alec Guinness,https://www.imdb.com/name/nm0000027/?ref_=tt_cst_t_2,Jack Hawkins,https://www.imdb.com/name/nm0370144/?ref_=tt_cst_t_3
173,Trainspotting,,R,,8.1,Drama,https://www.imdb.com/title/tt0117951/,700.0,0,1,Ewan McGregor,https://www.imdb.com/name/nm0000191/?ref_=tt_cst_t_1,Ewen Bremner,https://www.imdb.com/name/nm0001971/?ref_=tt_cst_t_2,Jonny Lee Miller,https://www.imdb.com/name/nm0001538/?ref_=tt_cst_t_3
174,Raging Bull,,R,,8.1,"Biography, Drama, Sport",https://www.imdb.com/title/tt0081398/,1263.0,2,0,Robert De Niro,https://www.imdb.com/name/nm0000134/?ref_=tt_cst_t_1,Cathy Moriarty,https://www.imdb.com/name/nm0001550/?ref_=tt_cst_t_2,Joe Pesci,https://www.imdb.com/name/nm0000582/?ref_=tt_cst_t_3
175,Catch Me If You Can,,PG-13,,8.1,"Biography, Crime, Drama",https://www.imdb.com/title/tt0264464/,673.0,0,2,Leonardo DiCaprio,https://www.imdb.com/name/nm0000138/?ref_=tt_cst_t_1,Tom Hanks,https://www.imdb.com/name/nm0000158/?ref_=tt_cst_t_2,Christopher Walken,https://www.imdb.com/name/nm0000686/?ref_=tt_cst_t_3
176,Fargo,,R,,8.1,"Crime, Drama, Thriller",https://www.imdb.com/title/tt0116282/,332.0,2,0,William H. Macy,https://www.imdb.com/name/nm0000513/?ref_=tt_cst_t_1,Frances McDormand,https://www.imdb.com/name/nm0000531/?ref_=tt_cst_t_2,Steve Buscemi,https://www.imdb.com/name/nm0000114/?ref_=tt_cst_t_3
177,Warrior,,PG-13,,8.1,"Action, Drama, Sport",https://www.imdb.com/title/tt1291584/,1453.0,0,1,Tom Hardy,https://www.imdb.com/name/nm0362766/?ref_=tt_cst_t_1,Nick Nolte,https://www.imdb.com/name/nm0000560/?ref_=tt_cst_t_2,Joel Edgerton,https://www.imdb.com/name/nm0249291/?ref_=tt_cst_t_3
178,Harry Potter and the Deathly Hallows - Part 2,,PG-13,,8.1,"Adventure, Family, Fantasy",https://www.imdb.com/title/tt1201607/,517.0,0,3,Daniel Radcliffe,https://www.imdb.com/name/nm0705356/?ref_=tt_cst_t_1,Emma Watson,https://www.imdb.com/name/nm0914612/?ref_=tt_cst_t_2,Rupert Grint,https://www.imdb.com/name/nm0342488/?ref_=tt_cst_t_3
179,Gran Torino,,R,,8.1,Drama,https://www.imdb.com/title/tt1205489/,1595.0,0,0,Clint Eastwood,https://www.imdb.com/name/nm0000142/?ref_=tt_cst_t_1,Bee Vang,https://www.imdb.com/name/nm3057402/?ref_=tt_cst_t_2,Christopher Carley,https://www.imdb.com/name/nm1542291/?ref_=tt_cst_t_3
180,Million Dollar Baby,,PG-13,,8.1,"Drama, Sport",https://www.imdb.com/title/tt0405159/,313.0,4,0,Hilary Swank,https://www.imdb.com/name/nm0005476/?ref_=tt_cst_t_1,Clint Eastwood,https://www.imdb.com/name/nm0000142/?ref_=tt_cst_t_2,Morgan Freeman,https://www.imdb.com/name/nm0000151/?ref_=tt_cst_t_3
181,Spider-Man: No Way Home,,PG-13,,8.2,"Action, Adventure, Fantasy",https://www.imdb.com/title/tt10872600/,316.0,0,1,Tom Holland,https://www.imdb.com/name/nm4043618/?ref_=tt_cst_t_1,Zendaya,https://www.imdb.com/name/nm3918035/?ref_=tt_cst_t_2,Benedict Cumberbatch,https://www.imdb.com/name/nm1212722/?ref_=tt_cst_t_3
182,Tonari no Totoro,,G,,8.1,"Animation, Comedy, Family",https://www.imdb.com/title/tt0096283/,1786.0,0,0,Hitoshi Takagi,https://www.imdb.com/name/nm0847054/?ref_=tt_cst_t_1,Noriko Hidaka,https://www.imdb.com/name/nm0383022/?ref_=tt_cst_t_2,Chika Sakamoto,https://www.imdb.com/name/nm0757076/?ref_=tt_cst_t_3
183,Mad Max: Fury Road,,R,,8.1,"Action, Adventure, Sci-Fi",https://www.imdb.com/title/tt1392190/,206.0,6,0,Tom Hardy,https://www.imdb.com/name/nm0362766/?ref_=tt_cst_t_1,Charlize Theron,https://www.imdb.com/name/nm0000234/?ref_=tt_cst_t_2,Nicholas Hoult,https://www.imdb.com/name/nm0396558/?ref_=tt_cst_t_3
184,Ben-Hur,,G,,8.1,"Adventure, Drama",https://www.imdb.com/title/tt0052618/,1581.0,11,0,Charlton Heston,https://www.imdb.com/name/nm0000032/?ref_=tt_cst_t_1,Jack Hawkins,https://www.imdb.com/name/nm0370144/?ref_=tt_cst_t_2,Stephen Boyd,https://www.imdb.com/name/nm0000963/?ref_=tt_cst_t_3
185,Bacheha-ye aseman,,PG,,8.2,"Drama, Family, Sport",https://www.imdb.com/title/tt0118849/,,0,1,Reza Naji,https://www.imdb.com/name/nm0619870/?ref_=tt_cst_t_1,Amir Farrokh Hashemian,https://www.imdb.com/name/nm0268488/?ref_=tt_cst_t_2,Bahare Seddiqi,https://www.imdb.com/name/nm0781245/?ref_=tt_cst_t_3
186,Barry Lyndon,,PG,,8.1,"Adventure, Drama, War",https://www.imdb.com/title/tt0072684/,987.0,4,0,Ryan O'Neal,https://www.imdb.com/name/nm0641939/?ref_=tt_cst_t_1,Marisa Berenson,https://www.imdb.com/name/nm0001943/?ref_=tt_cst_t_2,Patrick Magee,https://www.imdb.com/name/nm0535861/?ref_=tt_cst_t_3
187,12 Years a Slave,,R,,8.1,"Biography, Drama, History",https://www.imdb.com/title/tt2024544/,691.0,3,0,Chiwetel Ejiofor,https://www.imdb.com/name/nm0252230/?ref_=tt_cst_t_1,Michael Kenneth Williams,https://www.imdb.com/name/nm0931324/?ref_=tt_cst_t_2,Michael Fassbender,https://www.imdb.com/name/nm1055413/?ref_=tt_cst_t_3
188,Before Sunrise,,R,,8.1,"Drama, Romance",https://www.imdb.com/title/tt0112471/,1202.0,0,0,Ethan Hawke,https://www.imdb.com/name/nm0000160/?ref_=tt_cst_t_1,Julie Delpy,https://www.imdb.com/name/nm0000365/?ref_=tt_cst_t_2,Andrea Eckert,https://www.imdb.com/name/nm0248600/?ref_=tt_cst_t_3
189,Blade Runner,,R,,8.1,"Action, Drama, Sci-Fi",https://www.imdb.com/title/tt0083658/,317.0,0,2,Harrison Ford,https://www.imdb.com/name/nm0000148/?ref_=tt_cst_t_1,Rutger Hauer,https://www.imdb.com/name/nm0000442/?ref_=tt_cst_t_2,Sean Young,https://www.imdb.com/name/nm0000707/?ref_=tt_cst_t_3
190,Dead Poets Society,,PG,,8.1,"Comedy, Drama",https://www.imdb.com/title/tt0097165/,463.0,1,0,Robin Williams,https://www.imdb.com/name/nm0000245/?ref_=tt_cst_t_1,Robert Sean Leonard,https://www.imdb.com/name/nm0000494/?ref_=tt_cst_t_2,Ethan Hawke,https://www.imdb.com/name/nm0000160/?ref_=tt_cst_t_3
